name;ans_freq;report_id
MVE480 Linjär algebra 2017/2018 LP3-LP3;80 (30,19%);12075
MVE500 Serier och derivator i flera variabler 2017/2018 LP1-LP1;61 (36,09%);10945
MVE540 Matematisk statistik 2017/2018 LP4-LP4;9 (29,03%);12917
TME185 Strukturmekanik 2013/2014 LP2-LP2;14 (50,00%);2916
TME185 Strukturmekanik 2014/2015 LP1-LP1;20 (64,52%);3985
TME185 Strukturmekanik 2015/2016 LP1-LP1;25 (58,14%);6191
TME186 Strukturmekanik 2016/2017 LP1-LP1;13 (54,17%);8915
TME186 Strukturmekanik 2017/2018 LP1-LP1;16 (45,71%);10811
TME275 Mekanik 2016/2017 LP4-LP4;70 (26,92%);10489
TME275 Mekanik 2017/2018 LP4-LP4;59 (22,18%);12635
TME300 Hållfasthetslära 2017/2018 LP1-LP1;59 (38,31%);10937
TMV125 Inledande matematik 2013/2014 LP1-LP1;81 (37,16%);1936
TMV125 Inledande matematik 2014/2015 LP1-LP1;86 (45,50%);3723
TMV125 Inledande matematik 2015/2016 LP1-LP1;25 (53,19%);6245
TMV130 Matematisk analys i en variabel 2013/2014 LP2-LP2;84 (39,25%);2618
TMV130 Matematisk analys i en variabel 2014/2015 LP2-LP2;84 (44,68%);4325
TMV130 Matematisk analys i en variabel 2015/2016 LP2-LP2;17 (25,00%);6902
VBF018 Byggnadsfysik 2013/2014 LP4-LP4;14 (42,42%);3292
VBF018 Byggnadsfysik 2014/2015 LP4-LP4;16 (36,36%);6030
VBF018 Byggnadsfysik 2015/2016 LP4-LP4;12 (42,86%);8040
VBF018 Byggnadsfysik 2016/2017 LP4-LP4;10 (29,41%);10401
VBF019 Byggnadsfysik 2017/2018 LP3-LP4;11 (33,33%);12919
VBF056 Byggnadsmaterial 2013/2014 LP3-LP3;51 (31,68%);1411
VBF056 Byggnadsmaterial 2014/2015 LP3-LP3;109 (54,77%);5337
VBF056 Byggnadsmaterial 2015/2016 LP3-LP3;66 (38,15%);7612
VBF056 Byggnadsmaterial 2016/2017 LP3-LP3;17 (35,42%);9657
VSM031 Hållfasthetslära 2013/2014 LP2-LP2;57 (33,93%);2450
VSM031 Hållfasthetslära 2014/2015 LP2-LP2;80 (39,02%);4765
VSM031 Hållfasthetslära 2015/2016 LP2-LP2;45 (25,14%);7088
VSM031 Hållfasthetslära 2016/2017 LP2-LP2;9 (13,64%);9023
ACE030 Konstruktionsteknik 2018/2019 LP3-LP3;21 (56,76%);14611
ACE030 Konstruktionsteknik 2019/2020 LP3-LP3;17 (45,95%);16796
ACE030 Konstruktionsteknik 2020/2021 LP3-LP3;12 (32,43%);18967
ACE030 Konstruktionsteknik 2021/2022 LP3-LP3;13 (33,33%);21235
ACE035 Byggnadsmaterial 2018/2019 LP2-LP2;20 (51,28%);14111
ACE035 Byggnadsmaterial 2019/2020 LP2-LP2;16 (35,56%);16185
ACE035 Byggnadsmaterial 2020/2021 LP2-LP2;26 (59,09%);18373
ACE035 Byggnadsmaterial 2021/2022 LP2-LP2;19 (47,50%);20511
ACE065 Innemiljö och klimatsystem 2018/2019 LP3-LP4;6 (17,14%);15185
ACE065 Innemiljö och klimatsystem 2019/2020 LP3-LP4;4 (11,43%);16909
ACE065 Innemiljö och klimatsystem 2020/2021 LP3-LP4;12 (33,33%);19195
ACE065 Innemiljö och klimatsystem 2021/2022 LP3-LP4;10 (25,64%);21665
ACE070 Akustik 2018/2019 LP3-LP3;14 (40,00%);14621
ACE070 Akustik 2019/2020 LP3-LP3;13 (37,14%);16582
ACE070 Akustik 2020/2021 LP3-LP3;9 (25,71%);19037
ACE070 Akustik 2021/2022 LP3-LP3;11 (27,50%);21129
ACE190 BIM: Building information modelling 2020/2021 LP3-LP4;4 (10,00%);19682
ACE190 BIM: Building information modelling 2021/2022 LP3-LP4;10 (25,00%);21821
AFO170 Kropp, rum, bilder 2018/2019 LP3-LP4;6 (22,22%);14805
AFO170 Kropp, rum, bilder 2019/2020 LP3-LP4;5 (16,13%);17283
ARK093 Digitala verktyg 2018/2019 LP3-LP3;25 (65,79%);14455
ARK093 Digitala verktyg 2019/2020 LP3-LP3;16 (39,02%);16584
ARK093 Digitala verktyg 2020/2021 LP3-LP3;19 (52,78%);19113
ARK093 Digitala verktyg 2021/2022 LP3-LP3;10 (26,32%);21419
ARK096 Rum och människa 2018/2019 LP1-LP2;18 (45,00%);13571
ARK096 Rum och människa 2019/2020 LP1-LP2;16 (36,36%);15803
ARK096 Rum och människa 2020/2021 LP1-LP2;24 (60,00%);18637
ARK096 Rum och människa 2021/2022 LP1-LP2;12 (32,43%);20803
ARK103 Rum och geometri 2018/2019 LP3-LP4;18 (48,65%);14891
ARK103 Rum och geometri 2019/2020 LP3-LP4;13 (32,50%);17083
ARK104 Rum och geometri 2020/2021 LP4-LP4;15 (41,67%);19720
ARK104 Rum och geometri 2021/2022 LP4-LP4;12 (31,58%);21871
ARK201 Arkitektur och teknikhistoria 2018/2019 LP3-LP4;9 (23,68%);15121
ARK201 Arkitektur och teknikhistoria 2019/2020 LP3-LP4;10 (28,57%);17285
ARK202 Arkitektur och teknikhistoria 2020/2021 LP3-LP4;11 (28,21%);19724
ARK202 Arkitektur och teknikhistoria 2021/2022 LP3-LP4;9 (28,13%);21863
ARK207 Byggnad och klimat 2018/2019 LP3-LP4;11 (28,95%);14889
ARK207 Byggnad och klimat 2019/2020 LP3-LP4;16 (45,71%);17149
ARK207 Byggnad och klimat 2020/2021 LP3-LP4;9 (25,00%);19392
ARK207 Byggnad och klimat 2021/2022 LP3-LP4;8 (26,67%);21729
ARK212 Digitala verktyg - BIM 2018/2019 LP4-LP4;6 (17,65%);15187
ARK212 Digitala verktyg - BIM 2019/2020 LP4-LP4;10 (27,78%);17249
