name;ans_freq;report_id
MVE301 Sannolikhet, statistik och risk 2017/2018 LP4-LP4;13 (20,63%);12859
MVE345 Miljö och matematisk modellering 2013/2014 LP4-LP4;13 (48,15%);3386
MVE345 Miljö och matematisk modellering 2014/2015 LP4-LP4;23 (57,50%);5660
MVE346 Miljö och matematisk modellering 2015/2016 LP4-LP4;22 (56,41%);8340
MVE346 Miljö och matematisk modellering 2016/2017 LP4-LP4;10 (27,78%);10299
MVE346 Miljö och matematisk modellering 2017/2018 LP4-LP4;11 (26,19%);12451
MVE370 Matematik och samhälle 2013/2014 LP3-LP4;27 (58,70%);3518
MVE370 Matematik och samhälle 2014/2015 LP3-LP4;26 (70,27%);5486
MVE370 Matematik och samhälle 2015/2016 LP3-LP4;22 (41,51%);8126
MVE370 Matematik och samhälle 2016/2017 LP3-LP4;15 (39,47%);10153
MVE370 Matematik och samhälle 2017/2018 LP3-LP4;11 (25,00%);12767
MVE505 Diskret matematik 2016/2017 LP3-LP3;20 (45,45%);10023
MVE505 Diskret matematik 2017/2018 LP3-LP3;18 (46,15%);12015
SSY305 Communication systems 2015/2016 LP3-LP3;44 (93,62%);7510
SSY305 Communication systems 2016/2017 LP3-LP3;31 (83,78%);9863
SSY305 Communication systems 2017/2018 LP3-LP3;47 (88,68%);11965
SSY305 Kommunikationssystem 2013/2014 LP3-LP3;18 (90,00%);1833
SSY305 Kommunikationssystem 2014/2015 LP3-LP3;9 (90,00%);5059
SSY310 Reglerteknik 2013/2014 LP4-LP4;14 (38,89%);3616
SSY310 Reglerteknik 2014/2015 LP4-LP4;16 (32,65%);5820
SSY310 Reglerteknik 2015/2016 LP4-LP4;13 (27,66%);7988
SSY310 Reglerteknik 2016/2017 LP4-LP4;17 (29,31%);10511
SSY310 Reglerteknik 2017/2018 LP4-LP4;21 (34,43%);12655
TDA357 Databases 2013/2014 LP3-LP3;57 (36,08%);1643
TDA357 Databases 2014/2015 LP3-LP3;48 (31,79%);5139
TDA357 Databases 2015/2016 LP3-LP3;50 (29,59%);7336
TDA357 Databases 2016/2017 LP3-LP3;34 (32,08%);9955
TDA357 Databases 2017/2018 LP3-LP3;40 (34,78%);12085
TDA382 Concurrent programming 2013/2014 LP1-LP1;19 (24,05%);2228
TDA383 Concurrent programming 2014/2015 LP1-LP1;46 (43,40%);4225
TDA383 Concurrent programming 2015/2016 LP1-LP1;55 (42,64%);6439
TDA383 Concurrent programming 2016/2017 LP1-LP1;39 (35,14%);8849
TDA384 Principles of Concurrent Programming 2017/2018 LP1-LP1;40 (36,04%);11155
